Genre,Count
Young Adult,11320
Fiction,26007
Science Fiction,6821
Dystopia,1413
Fantasy,23722
Classics,6379
Historical,10868
Historical Fiction,6448
Academic,974
School,586
Romance,18732
Paranormal,8018
Vampires,1695
Childrens,5473
Literature,4601
Politics,1051
Novels,2554
Read For School,127
Contemporary,6064
Humor,2622
Picture Books,547
Mystery,7960
Thriller,3583
Horror,2575
Gothic,300
19th Century,283
Classic Literature,60
European Literature,3011
British Literature,552
Plays,684
Drama,607
High School,150
Poetry,1325
Philosophy,2056
Spirituality,888
Inspirational,243
Adventure,2367
Self Help,1057
Cultural,5272
Russia,547
Russian Literature,325
Adult,933
American,657
Time Travel,407
Canada,314
Middle Grade,1266
Audiobook,626
Coming Of Age,180
Science Fiction Fantasy,775
Magical Realism,411
Epic Fantasy,626
Mythology,891
War,1989
Apocalyptic,385
Post Apocalyptic,305
Animals,1116
Feminism,340
Short Stories,1850
Crime,2233
Detective,172
Womens Fiction,1677
Chick Lit,1641
Psychology,932
Mental Health,322
Mental Illness,151
Health,458
Historical Romance,1062
Nonfiction,7727
Autobiography,2067
Memoir,1658
Biography,2758
Africa,337
Religion,3001
Spanish Literature,277
20th Century,198
Literary Fiction,582
Christian,1832
Adult Fiction,1427
Steampunk,256
France,990
French Literature,347
Travel,514
Dragons,378
Angels,365
True Crime,215
Westerns,307
Urban Fantasy,1528
Sequential Art,3633
Graphic Novels,1452
Comics,1692
Theatre,238
Australia,157
Holiday,308
Christmas,214
Kids,31
African American,264
Comedy,348
China,184
Arthurian,88
Erotica,1622
Bdsm,404
Prehistoric,10
Realistic Fiction,1176
Japan,376
History,2841
World War II,666
Holocaust,200
Biblical Fiction,32
Biblical,6
Book Club,131
Art,594
Shapeshifters,660
Werewolves,324
German Literature,535
India,298
Christianity,626
Dogs,98
Supernatural,341
Magic,1398
Paranormal Romance,1709
Teen,453
Fairy Tales,470
Asian Literature,817
Japanese Literature,244
Christian Fiction,1142
,3242
Family,221
New Adult,1469
Contemporary Romance,2182
Northern Africa,103
Egypt,79
Writing,674
Books About Books,93
Environment,350
Nature,256
Southern,141
Lgbt,903
Science,1530
Suspense,1160
18th Century,67
Military History,260
Civil War,110
Erotic Romance,225
Islam,267
Irish Literature,134
Aliens,149
Legal Thriller,36
Food and Drink,410
Food,174
Biology,268
Evolution,78
High Fantasy,465
Asia,227
Abandoned,253
Jewish,121
Music,461
Cyberpunk,105
Ireland,170
Essays,379
Fairies,233
Fae,108
Atheism,45
Political Science,44
Ancient,24
College,210
Witches,267
Southern Africa,49
South Africa,42
Zombies,245
Victorian,69
Germany,110
Nobel Prize,70
Love,103
Space,272
Speculative Fiction,80
Eastern Africa,45
Ethiopia,6
Medicine,100
Space Opera,218
Sports and Games,506
Sports,620
Business,697
Military Fiction,493
Leadership,134
North American Hi...,248
American History,284
Presidents,44
Spy Thriller,241
Espionage,233
Juvenile,142
Physics,147
Italian Literature,208
Italy,237
Love Story,40
Did Not Finish,420
Lds,164
Church,58
Funny,290
Noir,108
Nutrition,25
Judaism,64
Astronomy,45
Mystery Thriller,595
Economics,344
Sociology,572
Abuse,313
Dark,341
Israel,41
Media Tie In,317
Movies,69
Personal Development,228
Productivity,35
Management,65
Language,222
English Literature,25
Retellings,193
Death,53
Relationships,101
Marriage,50
Horses,140
Reference,437
Denmark,16
Scandinavian Literature,125
Demons,289
Survival,89
Mathematics,81
Theology,354
World War I,64
Dc Comics,183
Batman,58
Graphic Novels Comics,322
Comic Book,216
Alternate History,98
Scotland,115
Latin American,75
Western Africa,37
Liberia,2
Sierra Leone,2
Law,43
Romantic Suspense,412
Polish Literature,140
Race,92
Sudan,7
New Age,33
Dark Fantasy,91
Indian Literature,127
Southern Gothic,42
Faith,204
Spain,100
Polyamory,11
Polygamy,6
Warfare,31
Fighters,31
Buddhism,106
Young Adult Contemporary,37
Young Adult Romance,21
Turkish Literature,147
Turkish,120
Baseball,58
True Story,34
Aviation,26
New York,74
Epic,55
